bucket_ts,service,endpoint,req_count,error_count,error_rate,avg_latency_ms,p95_latency_ms,mad_z,is_anomaly,severity
2026-01-06T18:41:00,auth,/login,2,0,0.0,74.5,87.55,-1.1919246575342453,False,Info
2026-01-06T18:41:00,auth,/logout,1,0,0.0,38.0,38.0,-4.82526923076924,False,Info
2026-01-06T18:41:00,catalog,/item/{id},2,0,0.0,48.0,48.0,-5.913116666666666,False,Info
2026-01-06T18:41:00,payments,/refund,1,0,0.0,134.0,134.0,-4.017771666666673,False,Info
2026-01-06T18:42:00,auth,/logout,8,0,0.0,47.125,58.3,0.4410192307692325,False,Info
2026-01-06T18:42:00,catalog,/item/{id},11,0,0.0,58.63636363636363,77.0,0.6070500000000006,False,Info
2026-01-06T18:42:00,catalog,/items,7,1,0.14285714285714285,76.28571428571429,104.09999999999998,-0.9282722772277257,False,Info
2026-01-06T18:42:00,catalog,/search,5,0,0.0,131.8,165.0,-2.3482592592592555,False,Info
2026-01-06T18:42:00,checkout,/cart,10,0,0.0,113.5,143.04999999999998,0.6169022471910102,False,Info
2026-01-06T18:42:00,checkout,/cart/add,3,0,0.0,106.66666666666667,157.7,-0.18338940092166037,False,Info
2026-01-06T18:42:00,checkout,/checkout,8,0,0.0,176.75,231.79999999999998,-1.4152027027027025,False,Info
2026-01-06T18:42:00,payments,/pay,4,0,0.0,303.0,362.85,0.37519957537155063,False,Info
2026-01-06T18:42:00,payments,/refund,6,0,0.0,202.0,239.0,0.7037283333333362,False,Info
2026-01-06T18:42:00,payments,/status,6,0,0.0,85.33333333333333,92.75,0.4775656934306572,False,Info
2026-01-06T18:42:00,auth,/verify,3,0,0.0,34.666666666666664,47.1,0.161293478260871,False,Info
2026-01-06T18:42:00,auth,/login,8,0,0.0,69.5,95.1,0.20327397260273836,False,Info
2026-01-06T18:43:00,checkout,/cart,6,0,0.0,76.0,120.25,-0.7654438202247191,False,Info
2026-01-06T18:43:00,catalog,/item/{id},9,0,0.0,53.0,73.6,-0.15738333333333396,False,Info
2026-01-06T18:43:00,auth,/login,8,0,0.0,84.75,93.65,-0.06467808219177966,False,Info
2026-01-06T18:43:00,auth,/logout,8,0,0.0,50.875,58.65,0.53181730769231,False,Info
2026-01-06T18:43:00,payments,/refund,5,0,0.0,173.8,235.6,0.550841666666669,False,Info
2026-01-06T18:43:00,payments,/pay,9,0,0.0,272.8888888888889,375.0,0.6071932059447988,False,Info
2026-01-06T18:43:00,catalog,/items,13,0,0.0,77.84615384615384,111.6,0.07346039603960362,False,Info
2026-01-06T18:43:00,checkout,/checkout,6,0,0.0,224.0,294.0,0.9719324324324348,False,Info
2026-01-06T18:43:00,auth,/verify,10,0,0.0,35.8,49.099999999999994,0.7478152173913044,False,Info
2026-01-06T18:43:00,catalog,/search,11,1,0.09090909090909091,144.63636363636363,252.0,7.311246913580246,False,Info
2026-01-06T18:43:00,payments,/status,3,0,0.0,49.666666666666664,52.8,-3.456197080291966,False,Info
2026-01-06T18:43:00,checkout,/cart/add,3,0,0.0,106.0,160.1,-0.03419124423963211,False,Info
2026-01-06T18:44:00,checkout,/cart/add,5,0,0.0,108.6,165.4,0.29528801843318025,False,Info
2026-01-06T18:44:00,catalog,/item/{id},17,1,0.058823529411764705,59.11764705882353,89.39999999999996,3.3949833333333257,False,Info
2026-01-06T18:44:00,auth,/login,8,0,0.0,68.875,89.74999999999999,-0.7853767123287686,False,Info
2026-01-06T18:44:00,catalog,/search,5,0,0.0,170.4,190.8,0.5162839506172875,False,Info
2026-01-06T18:44:00,payments,/status,5,0,0.0,66.8,87.6,-0.029540145985401143,False,Info
2026-01-06T18:44:00,auth,/logout,5,0,0.0,47.0,54.4,-0.5707307692307694,False,Info
2026-01-06T18:44:00,payments,/pay,5,0,0.0,294.2,376.59999999999997,0.6377438075017691,False,Info
2026-01-06T18:44:00,payments,/refund,3,0,0.0,188.33333333333334,229.0,0.2540616666666687,False,Info
2026-01-06T18:44:00,checkout,/checkout,2,0,0.0,270.5,289.85,0.8126621621621654,False,Info
2026-01-06T18:44:00,auth,/verify,8,0,0.0,36.5,49.65,0.9091086956521753,False,Info
2026-01-06T18:44:00,catalog,/items,11,0,0.0,72.18181818181819,100.5,-1.40910396039604,False,Info
2026-01-06T18:44:00,checkout,/cart,3,0,0.0,78.33333333333333,92.6,-2.441841573033708,False,Info
2026-01-06T18:45:00,catalog,/items,14,0,0.0,87.85714285714286,119.35,1.1085841584158418,False,Info
2026-01-06T18:45:00,checkout,/cart/add,5,0,0.0,127.2,175.2,0.9045138248847933,False,Info
2026-01-06T18:45:00,catalog,/search,12,0,0.0,149.16666666666666,191.45,0.5884526748971203,False,Info
2026-01-06T18:45:00,checkout,/checkout,3,0,0.0,265.0,299.0,1.1638243243243267,False,Info
2026-01-06T18:45:00,checkout,/cart,6,0,0.0,106.5,145.75,0.7806011235955056,False,Info
2026-01-06T18:45:00,catalog,/item/{id},9,0,0.0,49.55555555555556,68.0,-1.4164499999999993,False,Info
2026-01-06T18:45:00,auth,/login,3,0,0.0,60.666666666666664,69.5,-4.52746575342465,False,Info
2026-01-06T18:45:00,auth,/logout,5,0,0.0,47.0,59.8,0.8301538461538488,False,Info
2026-01-06T18:45:00,payments,/status,1,0,0.0,79.0,79.0,-0.8763576642335746,False,Info
2026-01-06T18:45:00,auth,/verify,5,0,0.0,30.2,42.2,-1.2756847826086954,False,Info
2026-01-06T18:45:00,payments,/pay,4,0,0.0,276.75,329.2,-0.2673177636234962,False,Info
2026-01-06T18:45:00,payments,/refund,3,0,0.0,128.66666666666666,155.2,-3.064478333333338,False,Info
2026-01-06T18:46:00,checkout,/cart,2,0,0.0,81.0,89.1,-2.6540438202247194,False,Info
2026-01-06T18:46:00,catalog,/search,10,0,0.0,144.4,180.45,-0.6328641975308626,False,Info
2026-01-06T18:46:00,payments,/status,6,0,0.0,56.0,79.0,-0.8763576642335746,False,Info
2026-01-06T18:46:00,auth,/verify,9,1,0.1111111111111111,37.44444444444444,46.6,0.014663043478262139,False,Info
2026-01-06T18:46:00,checkout,/cart/add,2,0,0.0,123.0,164.4,0.23312211981566863,False,Info
2026-01-06T18:46:00,catalog,/items,8,0,0.0,76.25,110.35,-0.09349504950495093,False,Info
2026-01-06T18:46:00,payments,/pay,5,0,0.0,258.6,307.8,-0.6759320594479827,False,Info
2026-01-06T18:46:00,auth,/login,6,0,0.0,67.66666666666667,86.5,-1.3859589041095868,False,Info
2026-01-06T18:46:00,payments,/refund,3,0,0.0,180.0,241.5,0.816145000000003,False,Info
2026-01-06T18:46:00,auth,/logout,9,0,0.0,44.333333333333336,57.6,0.2594230769230793,False,Info
2026-01-06T18:46:00,catalog,/item/{id},10,0,0.0,50.2,68.34999999999998,-1.3377583333333372,False,Info
2026-01-06T18:46:00,checkout,/checkout,8,0,0.0,177.75,251.25,-0.668743243243242,False,Info
2026-01-06T18:47:00,payments,/pay,5,0,0.0,306.0,396.0,1.008169851380043,False,Info
